
aalmutaw, 80
abellouz, 85
abenabba, 72
abuznego, 95
acarndt, 95
adoubekk, 95
aenoble, 80
alrumill, 94
amalotai, 80
amccree, 90
amloeza, 99
amorley, 89
apblair, 0
asakasai, 5
atuason, 87
bdarling, 85
bmondrag, 89
briverav, 99
brpham, 90
bseme, 76
cabundis, 78
carriaga, 82
ceaoliva, 84
chackett, 80
chmabake, 64
chshsmit, 90
ckstone, 80
clamaral, 85
cnpena, 90
coahoust, 100
comhowar, 92
cppizarr, 95
cvu5, 50
dakchin, 88
dcejamar, 67
dchiong, 84
ddang3, 100
dweldega, 80
eblank, 99
egutier9, 66
eramitch, 86
ercorral, 34
eresendi, 68
fconnor, 87
gbiles, 90
gjorgens, 82
grekhtma, 86
hpperez, 95
hslu, 0
hwang54, 82
hwhitehi, 95
jaakirby, 75
jahua, 84
jajurado, 65
jaortega, 90
jceisner, 95
jchu27, 90
jcopher, 100
jcsoper, 75
jdarby, 90
jdekloe, 90
jdelgad4, 60
jdlammer, 90
jetrata, 90
jfyang, 95
jgeri, 95
jjuanill, 73
jlcarlos, 100
jlei4, 74
jmoral18, 89
jmroger, 95
jmwaller, 99
joisanch, 57
jorblumb, 97
josholme, 89
jran4, 90
jsagrero, 83
jsono, 92
jsvanden, 89
jucsalaz, 100
jxu43, 86
jzhao26, 65
kapalaci, 75
kbarchar, 86
kbrar, 79
kdhua, 89
kehutran, 89
kflores2, 47
kharpe2, 75
kivaldez, 84
kjeng, 49
krosengr, 70
ktreggs, 77
kyajohns, 92
latanner, 89
lhyndman, 85
ljiang2, 85
maecabre, 95
maegaspa, 67
malngo, 95
mbonzo, 75
mdusanic, 94
mflapoin, 85
mfulton, 71
migamboa, 68
mlagapa, 87
mmmayr, 70
momhassa, 81
mopowell, 90
mstorrs, 57
mvillal4, 89
mwoehr, 90
nikalant, 0
njiang8, 86
nmaines, 94
nsharma7, 88
ocastroa, 82
ocjohnso, 100
oyuen, 84
pgarciaa, 97
qzhang20, 80
qzhang21, 85
rccho, 95
rflore8, 79
rgarrido, 85
rhersewo, 44
rkarpins, 80
rlovejoy, 0
rlukkoor, 85
rpons, 80
rsandhu2, 95
rychoy, 52
rzimpfer, 88
salcheun, 90
sapandey, 92
sasshah, 82
sdysart, 100
shester, 84
smarinac, 95
smeus, 83
soly, 88
stang24, 95
stderami, 86
summarti, 90
syaswen, 75
tawilson, 73
tfraz, 90
tzhang24, 86
xzhang52, 85
xzhang54, 91
xzhang57, 84
zgalvez, 70
zholbroo, 100
zihliu, 0
zjiang7, 86
