
aalmutaw, 100
abellouz, 100
abenabba, -5
abuznego, 100
acarndt, 100
adoubekk, 100
aenoble, 61
alrumill, 100
amalotai, 100
amccree, 100
amloeza, 100
amorley, -4
apblair, 100
asakasai, 80
atuason, 77
bdarling, 99
bmondrag, 100
brpham, 100
bseme, 77
cabundis, 100
carriaga, 100
ceaoliva, 100
chackett, 57
chmabake, 74
chshsmit, 77
ckstone, 100
clamaral, 94
cnpena, 97
coahoust, 77
comhowar, 100
cppizarr, 85
cvu5, 57
dakchin, 100
dcejamar, 100
dchiong, 100
ddang3, 100
eblank, 100
egutier9, 77
eramitch, 100
eresendi, 55
erobles5, 54
fconnor, 80
gbiles, 100
gjorgens, 100
grekhtma, 85
hpperez, 62
hslu, 100
hwang54, 100
hwhitehi, 77
jaakirby, 97
jahua, 100
jajurado, 100
jaortega, 97
jceisner, 100
jchu27, 72
jcopher, 100
jcsoper, 100
jdarby, 100
jdekloe, 77
jdelgad4, 100
jdlammer, 100
jetrata, 100
jfyang, 100
jgeri, 100
jjuanill, 57
jlcarlos, 100
jlei4, 100
jmoral18, 100
jmroger, 100
jmwaller, 80
jorblumb, 100
josholme, 100
joyun, 77
jran4, 100
jsono, 97
jsvanden, 100
jucsalaz, 100
jxu43, 100
jzhao26, 85
kapalaci, 100
kbrar, 97
kdhua, 100
kehutran, 74
kflores2, 80
kharpe2, 100
kivaldez, 100
krosengr, 100
kyajohns, 97
latanner, 97
lhyndman, 100
ljiang2, 100
maecabre, 80
maegaspa, 64
malngo, 100
mbonzo, 62
mdusanic, 100
mflapoin, 100
mfulton, 54
mhoshko, 97
migamboa, 74
mlagapa, 100
mmmayr, 97
momhassa, 99
mopowell, 100
mstorrs, 100
mvillal4, 100
mwoehr, 100
nikalant, -4
njiang8, 100
nmaines, 100
nsharma7, 80
ocastroa, 97
ocjohnso, 100
oyuen, 100
pgarciaa, 100
qzhang20, 100
qzhang21, 100
rccho, 100
rdfelix, 100
rflore8, 100
rgarrido, 100
rkarpins, 100
rlovejoy, -4
rlukkoor, 100
rmendezv, 100
rpons, 74
rsandhu2, 100
rychoy, 62
rzimpfer, 99
salcheun, 100
sapandey, 100
sasshah, 54
sdysart, 94
shester, 100
smarinac, 100
smaspell, 63
smeus, 94
soly, 93
stang24, 100
stderami, 100
summarti, 100
syaswen, 100
tawilson, 57
tfraz, 100
tzhang24, 96
xzhang52, 100
xzhang54, 100
xzhang57, 76
zgalvez, 80
zholbroo, 100
zihliu, -4
zjiang7, 100
